Authors,Article Title,Source Title,Study,Study,Species common name,Species,,Regne,Phyla,Classe,Ordre,Factor,Factor variation,Crossing/wild,Method,Type of h? (narrow / broad),keep?,comment,Which is stressful?,Stress (heat/acidity/drought/wet),trait,trait type (lht/morpho/physio/behav),error type,h? mild environment,se h? mild,range of CI mild,SE m,h? harsh environment,se h? harsh environment,range of CI harsh,SE h,error type,evolvability mild environment,se evolvability mild environment,evolvability harsh environment,se evolvability harsh environment,error type,Evol_Mild,Evol_Harsh,Va mild environment,se Va mild environment,Va harsh environment,se Va harsh environment,Vp mild,Vp harsh,mean mild,se mean mild,mean harsh,se mean harsh,ISSN,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Early Access Date,UT (Unique WOS ID)
,,,3,2,Branching coral,Acropora cervicornis,CR,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,1,,heat,heat,PO,Physiology,95% CI,0.25,"[0.04,0.50]",0.46,0.117346939,0.3,"[0.04,0.54]",0.5,0.12755102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,2,Branching coral,Acropora cervicornis,CR,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,1,,acidity,acidity,Yield,LHT,95% CI,0.21,"[0.03,0.44]",0.41,0.104591837,0.32,"[0.09,0.6]",0.51,0.130102041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,2,Branching coral,Acropora cervicornis,CR,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,1,,heat,heat,Yield,LHT,95% CI,0.21,"[0.03,0.44]",0.41,0.104591837,0.21,"[0.03,0.41]",0.38,0.096938776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,2,Branching coral,Acropora cervicornis,CR,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,1,,acidity,acidity,ETR,Physiology,95% CI,0.06,"[0.007,0.23]",0.223,0.056887755,0.05,"[0.01,0.22]",0.21,0.053571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,2,Branching coral,Acropora cervicornis,CR,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,1,,heat,heat,ETR,Physiology,95% CI,0.06,"[0.007,0.23]",0.223,0.056887755,0.06,"[0.01,0.22]",0.21,0.053571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,2,Branching coral,Acropora cervicornis,CR,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,1,,acidity,acidity,chlorophyl,Physiology,95% CI,0.16,"[0,0.48]",0.48,0.12244898,0.09,"[0,0.35]",0.35,0.089285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,2,Branching coral,Acropora cervicornis,CR,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,1,,heat,heat,chlorophyl,Physiology,95% CI,0.16,"[0,0.48]",0.48,0.12244898,0.19,"[0,0.50]",0.5,0.12755102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Debes, PV; Solberg, MF; Matre, IH; Dyrhovden, L; Glover, KA",Genetic variation for upper thermal tolerance diminishes within and between populations with increasing acclimation temperature in Atlantic salmon,HEREDITY,4,3,Atlantic salmon,Salmo salar,,Aniimalia,Chordata,Actinopterygii,Salmoniformes,temperature,Lab experiment,Crossing in the lab,animal model,narrow sense,1,"Just took wild population optimal vs hot. Evolvabilities only given for Ctmax and hct in Sup mat, h? from PlotDigitizer. From text: we
identified differences only for condition and CTmax and only
between the cold and optimum regimes",heat,heat,Ctmax,Physiology,95% CI,0.48,"[0.15, 0.80]",0.65,0.165816327,0.38,"[0.09,0.66]",0.57,0.145408163,se,0.0000191,0.0000082,0.0000079,0.0000035,,0.0000191,0.0000079,,,,,,,,,,,0018-067X,2021,127,5,455,466,,10.1038/s41437-021-00469-y,21-Aug,WOS:000689525800001
,,,4,3,Atlantic salmon,Salmo salar,,Aniimalia,Chordata,Actinopterygii,Salmoniformes,temperature,Lab experiment,Crossing in the lab,animal model,narrow sense,1,,heat,heat,haematocrit,Physiology,95% CI,0.526,"[0.25,0.80]",0.55,0.140306122,0.7,"[0.38,1.02]",0.64,0.163265306,se,0.00242,0.00081,0.00284,0.00095,,0.00242,0.00284,,,,,,,,,,,,,,,,,,,,
"Griffiths, JS; Johnson, KM; Sirovy, KA; Yeats, MS; Pan, FTC; La Peyre, JF; Kelly, MW","Transgenerational plasticity and the capacity to adapt to low salinity in the eastern oyster, Crassostrea virginica",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,6,4,Eastern oyster,Crassostrea virginica,Vu,Aniimalia,Mollusca,Bivalvia,Ostreida,salinity,Lab experiment,North Carolina II breeding design,animal model,narrow sense,1,increase rain decreases salinity,low salinity,low salinity,larval size,Morphology,95% CI,0.66,"[0.36,0.86]",0.5,0.12755102,0.68,"[0.39,0.89]",0.5,0.12755102,,,,,,95%CI,,,122.3,"[65.1, 180.1]",140.7,"[68.6,176]",,,,,,,0962-8452,2021,288,1951,,,20203118,10.1098/rspb.2020.3118,,WOS:000652670300009
"Peschel, AR; Boehm, EL; Shaw, RG",Estimating the capacity of Chamaecrista fasciculata for adaptation to change in precipitation,EVOLUTION,7,5,partridge pea,Chamaecrista fasciculata,,Plantae,Angiosperm,Eudicots,Fabales,rain,Field experiment,controlled crossing,animal model,narrow sense,1,same species Etterson ? Shaw,rain,wet,fitness (Aster based),LHT,,,,,NA,,,,NA,,,,,,se,0.767578006,0.361108379,252000,49000,155000,30000,,,654,,613,,0014-3820,2021,75,1,73,85,,10.1111/evo.14131,20-Nov,WOS:000594083400001
,,,7,5,partridge pea,Chamaecrista fasciculata,,Plantae,Angiosperm,Eudicots,Fabales,rain,Field experiment,controlled crossing,animal model,narrow sense,1,,rain,wet,SLA,Morphology,se,0.023,NA,,NA,0.76,0.0035,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fischer, K; Kreyling, J; Beaulieu, M; Beil, I; Bog, M; Bonte, D; Holm, S; Knoblauch, S; Koch, D; Muffler, L; Mouginot, P; Paulinich, M; Scheepens, JF; Schiemann, R; Schmeddes, J; Schnittler, M; Uhl, G; van der Maaten-Theunissen, M; Weier, JM; Wilmking, M; Weigel, R; Gienapp, P",Species-specific effects of thermal stress on the expression of genetic variation across a diverse group of plant and animal taxa under experimental conditions,HEREDITY,9,6,Thale cress,Arabidopsis thaliana,,Plantae,Angiosperm,Eudicots,Brassicales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Leaf length,Morphology,none,0.11,NA,,NA,0.27,NA,,NA,none,0,,0.01,,none,0,0.01,2.96,,21.3,,,,,,,,0018-067X,2021,126,1,23,37,,10.1038/s41437-020-0338-4,juil-20,WOS:000545912500001
,,,9,6,Thale cress,Arabidopsis thaliana,,Plantae,Angiosperm,Eudicots,Brassicales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Specific leaf area,Morphology,,0,,,NA,0.02,,,NA,none,0,,0,,none,0,0,0,,2.11,,,,,,,,,,,,,,,,,
,,,9,6,Thale cress,Arabidopsis thaliana,,Plantae,Angiosperm,Eudicots,Brassicales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Shoot length,Morphology,,0.42,,,NA,0.46,,,NA,none,0.01,,0.02,,none,0.01,0.02,7.85,,24.2,,,,,,,,,,,,,,,,,
,,,9,6,Thale cress,Arabidopsis thaliana,,Plantae,Angiosperm,Eudicots,Brassicales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Germination rate,LHT,,0.65,,,NA,0.23,,,NA,none,0.03,,0.01,,none,0.03,0.01,0.025,,0.01,,,,,,,,,,,,,,,,,
,,,9,6,Common duckmeat,Spirodela polyrhiza,,Plantae,Angiosperm,Monocots,Alismatales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Relative growth rate,LHT,,0.51,,,NA,0.63,,,NA,none,0.01,,0.01,,none,0.01,0.01,<0.01,,<0.01,,,,,,,,,,,,,,,,,
,,,9,6,Common duckmeat,Spirodela polyrhiza,,Plantae,Angiosperm,Monocots,Alismatales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Fronds/colony,Morphology,,0.52,,,NA,0.69,,,NA,none,0.03,,0.02,,none,0.03,0.02,1.79,,1.4,,,,,,,,,,,,,,,,,
,,,9,6,Common duckmeat,Spirodela polyrhiza,,Plantae,Angiosperm,Monocots,Alismatales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Area:weight ratio,Morphology,,0.73,,,NA,0.83,,,NA,none,0.02,,0.03,,none,0.02,0.03,8237.4,,13334.1,,,,,,,,,,,,,,,,,
,,,9,6,Common duckmeat,Spirodela polyrhiza,,Plantae,Angiosperm,Monocots,Alismatales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,thiobarbituric acid-reactive substances,Physiology,,0.79,,,NA,0.74,,,NA,none,0.3,,0.09,,none,0.3,0.09,<0.01,,<0.01,,,,,,,,,,,,,,,,,
,,,9,6,Common duckmeat,Spirodela polyrhiza,,Plantae,Angiosperm,Monocots,Alismatales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,anthocyanin content,Physiology,,0.74,,,NA,0.78,,,NA,none,1.01,,0.19,,none,1.01,0.19,0.01,,<0.01,,,,,,,,,,,,,,,,,
,,,9,6,European beech,Fagus sylvatica,,Plantae,Angiosperm,Eudicots,Fagales,temperature,Natural variation,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Leaf area,Morphology,,0.64,,,NA,0.16,,,NA,none,0.08,,0.02,,none,0.08,0.02,13.5,,1.91,,,,,,,,,,,,,,,,,
,,,9,6,European beech,Fagus sylvatica,,Plantae,Angiosperm,Eudicots,Fagales,temperature,Natural variation,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Specific leaf area,Morphology,,0.1,,,NA,0,,,NA,none,0,,0,,none,0,0,2.58,,0,,,,,,,,,,,,,,,,,
,,,9,6,European beech,Fagus sylvatica,,Plantae,Angiosperm,Eudicots,Fagales,temperature,Natural variation,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Growth,LHT,,0.5,,,NA,0.45,,,NA,none,0.25,,0.99,,none,0.25,0.99,1.72,,1.29,,,,,,,,,,,,,,,,,
,,,9,6,squinting bush brown,Bicyclus anynana,,Aniimalia,Arthropoda,Insecta,Lepidoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Wing length,Morphology,,0.25,,,NA,0.14,,,NA,none,0,,0,,none,0,0,0.14,,0.17,,,,,,,,,,,,,,,,,
,,,9,6,squinting bush brown,Bicyclus anynana,,Aniimalia,Arthropoda,Insecta,Lepidoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Thorax mass,Morphology,,0.11,,,NA,0.17,,,NA,none,0,,0.01,,none,0,0.01,0,,0,,,,,,,,,,,,,,,,,
,,,9,6,squinting bush brown,Bicyclus anynana,,Aniimalia,Arthropoda,Insecta,Lepidoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Fat content,Physiology,,0.1,,,NA,0.12,,,NA,none,0.02,,0.05,,none,0.02,0.05,0,,0,,,,,,,,,,,,,,,,,
,,,9,6,squinting bush brown,Bicyclus anynana,,Aniimalia,Arthropoda,Insecta,Lepidoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Fecundity,LHT,,0.38,,,NA,0,,,NA,none,0.05,,0,,none,0.05,0,410.1,,0.01,,,,,,,,,,,,,,,,,
,,,9,6,squinting bush brown,Bicyclus anynana,,Aniimalia,Arthropoda,Insecta,Lepidoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Heat tolerance,Physiology,,0.04,,,NA,0.12,,,NA,none,0.01,,0.01,,none,0.01,0.01,27478.2,,60683.3,,,,,,,,,,,,,,,,,
,,,9,6,Red flour beetle,Tribolium castaneum,,Aniimalia,Arthropoda,Insecta,Coleoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Body length,Morphology,,0.1,,,NA,0.05,,,NA,none,0,,0,,none,0,0,0,,0,,,,,,,,,,,,,,,,,
,,,9,6,Red flour beetle,Tribolium castaneum,,Aniimalia,Arthropoda,Insecta,Coleoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Body mass,Morphology,,0.13,,,NA,0.14,,,NA,none,0,,0,,none,0,0,0,,0,,,,,,,,,,,,,,,,,
,,,9,6,Red flour beetle,Tribolium castaneum,,Aniimalia,Arthropoda,Insecta,Coleoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,cold tolerance,Physiology,,0.15,,,NA,0.06,,,NA,none,0.03,,0.02,,none,0.03,0.02,13477.38,,21008.5,,,,,,,,,,,,,,,,,
,,,9,6,Red flour beetle,Tribolium castaneum,,Aniimalia,Arthropoda,Insecta,Coleoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,heat tolerance,Physiology,,0,,,NA,0,,,NA,none,0,,0,,none,0,0,0.08,,0.02,,,,,,,,,,,,,,,,,
,,,9,6,Red flour beetle,Tribolium castaneum,,Aniimalia,Arthropoda,Insecta,Coleoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Fecundity,LHT,,0.05,,,NA,0.36,,,NA,none,0.01,,0.08,,none,0.01,0.08,47.85,,377.9,,,,,,,,,,,,,,,,,
,,,9,6,Red spider mite,Tetranychus urticae,,Aniimalia,Arthropoda,Arachnida,Trombidiformes,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Body size,Morphology,,0.22,,,NA,0.18,,,NA,none,0,,0,,none,0,0,0,,0,,,,,,,,,,,,,,,,,
,,,9,6,Red spider mite,Tetranychus urticae,,Aniimalia,Arthropoda,Arachnida,Trombidiformes,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Fecundity,LHT,,0.47,,,NA,0.43,,,NA,none,0.07,,0.17,,none,0.07,0.17,121.37,,57.95,,,,,,,,,,,,,,,,,
,,,9,6,Red spider mite,Tetranychus urticae,,Aniimalia,Arthropoda,Arachnida,Trombidiformes,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,1,Meta-analysis style as several species,heat,heat,Heat tolerance,Physiology,,0,,,NA,0,,,NA,none,0,,0,,none,0,0,0,,0,,,,,,,,,,,,,,,,,
"Zwoinska, MK; Rodrigues, LR; Slate, J; Snook, RR",Phenotypic Responses to and Genetic Architecture of Sterility Following Exposure to Sub-Lethal Temperature During Development,FRONTIERS IN GENETICS,10,7,fruitfly,Drosophila melanogaster,,Aniimalia,Arthropoda,Insecta,Diptera,temperature during development,Lab experiment,isogenic lines,SNPs based h?,narrow sense,1,"means from GLM, took 25 vs 29, but they also report 27?C",heat,heat,male fertility,LHT,se,0,0.25,,0.25,0,0.37,,0.37,,,,,,se,0,0,0,0.58,0,0.67,2.33,1.83,4.16,,0.2,,means from GLM,2020,11,,,,573,10.3389/fgene.2020.00573,,WOS:000543118100001
