Study	Species	Trait	fit.trait	Heritability	Evolvability	Mean	Ie	Type	Scale	Organism	Measure
Arnold.&.Phillips.(1999)	Thamnophis.elegans	sub	no	0.449	0.116	90.535	0.142	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	mid	no	0.499	0.126	20.151	0.126	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	ilab	no	0.129	0.012	20.004	0.083	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	slab	no	0.073	0.011	15.879	0.136	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	post	no	0	0	5.92	0	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	vent	no	0.54	0.029	167.52	0.025	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	sub	no	0.479	0.222	60.589	0.242	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	mid	no	0.339	0.065	20.486	0.126	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	ilab	no	0.046	0.006	20.159	0.127	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	slab	no	0.032	0.01	15.876	0.288	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	post	no	0.161	0.238	6.085	1.237	Size	Count	Herp	Narrowsense
Ashman.(2003)	Fragaria.virginiana	pollen.per.flower	no	0.09	1.622	152140	16.397	Shape	Count	Plant	Narrowsense
Ashman.(2003)	Fragaria.virginiana	ovules.per.flower	yes	0.37	4.546	90	7.741	Shape	Count	Plant	Narrowsense
Ashman.(2003)	Fragaria.virginiana	petal.size	no	0.24	3.427	93.5	10.853	Size	Area	Plant	Narrowsense
Ashman.(2003)	Fragaria.virginiana	flower.number.	yes	0.4	28.533	12.7	42.799	LH	Count	Plant	Narrowsense
Ashman.(2003)	Fragaria.virginiana	ovules.per.flower	yes	0.39	4.687	91	7.331	Shape	Count	Plant	Narrowsense
Ashman.(2003)	Fragaria.virginiana	petal.size	no	0.3	14.977	50.9	34.947	Size	Linear	Plant	Narrowsense
Ashman.(2003)	Fragaria.virginiana	flower.number.	yes	0.36	24.033	13.9	42.726	LH	Count	Plant	Narrowsense
Asteles.et.al..(2006)	Harmonia.axyridis	"Pronotum.width,.on.pea"	no	1.145	0.333	3.15	-0.042	Size	Linear	Insect	Fullsib
Asteles.et.al..(2006)	Harmonia.axyridis	"Pronotum.width,.on.bean"	no	1.022	0.325	3.173	-0.007	Size	Linear	Insect	Fullsib
Asteles.et.al..(2006)	Harmonia.axyridis	Development.time.on.pea	yes	1.51	1.173	23.504	-0.396	LH	Time	Insect	Fullsib
Asteles.et.al..(2006)	Harmonia.axyridis	Development.time.onbean	yes	1.34	1.186	22.527	-0.301	LH	Time	Insect	Fullsib
Asteles.et.al..(2006)	Nauphoeta.cinerea	"Pronotum.width,.20C"	no	0.568	0.125	8.259	0.095	Size	Linear	Insect	Narrowsense
Asteles.et.al..(2006)	Nauphoeta.cinerea	"Pronotum.width,.27C"	no	0.655	0.146	9.193	0.077	Size	Linear	Insect	Narrowsense
Asteles.et.al..(2006)	Nauphoeta.cinerea	Development.time.20C	yes	0.775	0.952	216.213	0.276	LH	Time	Insect	Narrowsense
Asteles.et.al..(2006)	Nauphoeta.cinerea	Development.time.27C	yes	0.753	1.29	94.241	0.423	LH	Time	Insect	Narrowsense
Bacigalupe.et.al..(2004)	Phyllotis.darwini	kidneys.	no	0	3.96E-05	0.133	NA	Size	Weight	Mammal	Narrowsense
Bacigalupe.et.al..(2004)	Phyllotis.darwini	liver	no	0.73	2.394537588	0.602	0.885650889	Size	Weight	Mammal	Narrowsense
Bacigalupe.et.al..(2004)	Phyllotis.darwini	heart	no	0	0.00004	0.05	NA	Size	Weight	Mammal	Narrowsense
Bacigalupe.et.al..(2004)	Phyllotis.darwini	small.intestine	no	0	0.0000069	0.27	NA	Size	Weight	Mammal	Narrowsense
Bacigalupe.et.al..(2004)	Phyllotis.darwini	large.intestine	no	0.05	0.513	0.116	9.743	Size	Weight	Mammal	Narrowsense
Bacigalupe.et.al..(2004)	Phyllotis.darwini	coecum	no	0.28	0.782	0.113	2.01	Size	Weight	Mammal	Narrowsense
Bacigalupe.et.al..(2004)	Phyllotis.darwini	food.intake	no	0.12	0.266	7.76	1.948	Behavior	Ratio	Mammal	Narrowsense
Bacigalupe.et.al..(2004)	Phyllotis.darwini	digestibility	no	0.05	0.038	60.28	0.721	Physiological	Ratio	Mammal	Narrowsense
Bacigalupe.et.al..(2004)	Phyllotis.darwini	susMR	no	0.2	0.566	86.12	2.263	Physiological	Ratio	Mammal	Narrowsense
Bacigalupe.et.al..(2004)	Phyllotis.darwini	BMR	no	0.21	0.859	24.6	3.232	Physiological	Ratio	Mammal	Narrowsense
Bacigalupe.et.al..(2004)	Phyllotis.darwini	susMS	no	0	0.000072	3.72	NA	Physiological	Ratio	Mammal	Narrowsense
Beraldi.et.al..(2007)	Ovis.aries	birth.weight.lamb	no	0.16	0.415	2.3	2.177	Size	Weight	Mammal	Narrowsense
Beraldi.et.al..(2007)	Ovis.aries	birth.weight.mother.	no	0.27	0.972	2.22	2.629	Size	Weight	Mammal	Narrowsense
Beraldi.et.al..(2007)	Ovis.aries	foreleg.length..adult	no	0.32	0.078	126	0.167	Size	Linear	Mammal	Narrowsense
Beraldi.et.al..(2007)	Ovis.aries	hindleg.length.adult	no	0.46	0.078	180	0.092	Size	Linear	Mammal	Narrowsense
Beraldi.et.al..(2007)	Ovis.aries	body.weight.adult.	no	0.23	0.432	23.95	1.445	Size	Weight	Mammal	Narrowsense
Beraldi.et.al..(2007)	Ovis.aries	metacarpal.length.adult	no	0.45	0.118	78	0.145	Size	Linear	Mammal	Narrowsense
Beraldi.et.al..(2007)	Ovis.aries	Jaw.length.adult	no	0.39	0.062	112	0.096	Size	Linear	Mammal	Narrowsense
Berwaerts.et.al.(2008)	Pararge.aegeria.	mean.take-off.acceleration	no	0.154	0.156	4.43	0.857	Behavior	Transformed	Insect	Fullsib
Berwaerts.et.al.(2008)	Pararge.aegeria.	max.take-off.acceleration	no	0.154	0.123	5.66	0.673	Behavior	Transformed	Insect	Fullsib
Berwaerts.et.al.(2008)	Pararge.aegeria.	body.mass	no	0.382	0.025	NA	0.04	Size	Transformed	Insect	Fullsib
Berwaerts.et.al.(2008)	Pararge.aegeria.	forewing.aspect.ratio	no	0.294	0.0053	9.83	0.013	Shape	Transformed	Insect	Fullsib
Berwaerts.et.al.(2008)	Pararge.aegeria.	mean.take-off.acceleration	no	0.157	0.138	4.77	0.743	Behavior	Transformed	Insect	Fullsib
Berwaerts.et.al.(2008)	Pararge.aegeria.	max.take-off.acceleration	no	0	0.000025	6.02	NA	Behavior	Transformed	Insect	Fullsib
Berwaerts.et.al.(2008)	Pararge.aegeria.	body.mass	no	0.173	0.021	NA	0.101	Size	Transformed	Insect	Fullsib
Berwaerts.et.al.(2008)	Pararge.aegeria.	abdomen.mass	no	0.179	0.035	5.59	0.159	Size	Transformed	Insect	Fullsib
Berwaerts.et.al.(2008)	Pararge.aegeria.	forewing.aspect.ratio	no	0.156	0.0036	10.28	0.019476923	Shape	Transformed	Insect	Fullsib
Birkhead.et.al..(2006)	Taeniopygia.guttata	condition	no	0.61	0.325	0	0.208	Shape	Transformed	Bird	Narrowsense
Birkhead.et.al..(2006)	Taeniopygia.guttata	hematocrit	no	0.38	0.197	51.22	0.322	Physiological	Volume	Bird	Narrowsense
Birkhead.et.al..(2006)	Taeniopygia.guttata	PHA	no	0.221	0.661	109.36	2.33	Physiological	Linear	Bird	Narrowsense
Birkhead.et.al..(2006)	Taeniopygia.guttata	adult.mass	no	0.68	0.638	16.94	0.3	Size	Weight	Bird	Narrowsense
Birkhead.et.al..(2006)	Taeniopygia.guttata	tarsus.length	no	0.776	0.089	16.85	0.026	Size	Linear	Bird	Narrowsense
Boake.and.Koningsberg.(1998)	Drosophila.silvestris	copulation.duration	no	0.539	2.857	579.4	2.445	Behavior	Time	Insect	Narrowsense
Brandt.&.Greenfield.(2004)	Achroia.grisella	Pulse-pair.rate	no	0.56	1.21	90.41	0.951	Behavior	Count	Insect	Narrowsense
Brandt.&.Greenfield.(2004)	Achroia.grisella	Peak.amplitude	no	0.36	1.69	85.74	3.004	Behavior	NA	Insect	Narrowsense
Brandt.&.Greenfield.(2004)	Achroia.grisella	Asynchrony.interval	no	0.19	1.44	666.38	6.139	Behavior	Time	Insect	Narrowsense
Brandt.&.Greenfield.(2004)	Achroia.grisella	Attractiveness.index	no	0.21	4.41	252.75	16.59	Behavior	NA	Insect	Narrowsense
Brandt.&.Greenfield.(2004)	Achroia.grisella	Eclosion.body.mass	no	0.31	0.81	14.66	1.803	Size	Weight	Insect	Narrowsense
Brandt.&.Greenfield.(2004)	Achroia.grisella	Adult.life.span	yes	1	6.76	15.31	0	LH	Time	Insect	Narrowsense
Brandt.&.Greenfield.(2004)	Achroia.grisella	Nightly.singing.period	no	0.23	0.16	10.44	0.536	Behavior	Time	Insect	Narrowsense
Brodie.(1993)	Thamnophis.ordinoides	Speed	no	0.492	1.372	0.27	1.416	Behavior	Ratio	Herp	Fullsib
Brodie.(1993)	Thamnophis.ordinoides	distance	no	0.57	0.339	338.164	0.256	Behavior	Linear	Herp	Fullsib
Brodie.(1993)	Thamnophis.ordinoides	Speed	no	0.514	1.538	0.255	1.454	Behavior	Ratio	Herp	Fullsib
Brodie.(1993)	Thamnophis.ordinoides	distance	no	0.539	0.504	300.682	0.431	Behavior	Linear	Herp	Fullsib
Bryant.&.Meffert.(1995)	Musca.domestica	Shape.ln(wing/thorax)	no	0.67	0.053	NA	0.026	Shape	Transformed	Insect	Narrowsense
Bryant.&.Meffert.(1995)	Musca.domestica	Shape.ln(wing/thorax)	no	0.665	0.076	NA	0.038	Shape	Transformed	Insect	Narrowsense
Bryant.&.Meffert.(1995)	Musca.domestica	Shape.ln(wing/thorax)	no	0.417	0.059	NA	0.083	Shape	Transformed	Insect	Narrowsense
Bryant.&.Meffert.(1995)	Musca.domestica	Shape.ln(wing/thorax)	no	0.458	0.064	NA	0.076	Shape	Transformed	Insect	Narrowsense
Cadee.(2000)	Hirundo.rustica	"Tarsus.length,.reduced..brood"	no	-0.04	-0.0057	11.36	NA	Size	Linear	Bird	Fullsib
Cadee.(2000)	Hirundo.rustica	"Tarsus.FA,.reduced.brood"	no	0.62	29.689	0.111	18.197	DS	Linear	Bird	Fullsib
Cadee.(2000)	Hirundo.rustica	"Tarsus.length,.Enlarged.brood"	no	1.14	0.254	11.14	-0.031	Size	Linear	Bird	Fullsib
Cadee.(2000)	Hirundo.rustica	"Tarsus.FA,.enlarged.brood"	no	-0.17	-6.375	0.121	NA	DS	Linear	Bird	Fullsib
Campbell.(1996)	Ipomopsis.aggregata	corolla.length	no	0.24	0.175	25.01	0.553	Size	Linear	Plant	Narrowsense
Campbell.(1996)	Ipomopsis.aggregata	corolla.width	no	0.29	0.193	3.61	0.472	Size	Linear	Plant	Narrowsense
Campbell.(1996)	Ipomopsis.aggregata	anther.position	no	0.16	0.123	25.22	0.643	Size	Linear	Plant	Narrowsense
Campbell.(1996)	Ipomopsis.aggregata	nectar.volume	no	0.05	2.031	2.28	38.582	Physiological	Volume	Plant	Narrowsense
Campbell.(1996)	Ipomopsis.aggregata	nectar.concentration	no	0.15	0.561	0.23	3.179	Physiological	Density	Plant	Narrowsense
Campbell.(1997)	Ipomopsis.aggregata	seedling.emergence.W1	no	0.007	2.103	NA	298.255	LH	Proportion	Plant	Narrowsense
Campbell.(1997)	Ipomopsis.aggregata	surviv..Seedling.to.flower.W2	yes	0.027	6.503	NA	234.331	LH	Proportion	Plant	Narrowsense
Campbell.(1997)	Ipomopsis.aggregata	suriviv..To.flower..W1*W2	yes	0.025	28.944	NA	1128.832	LH	Proportion	Plant	Narrowsense
Campbell.(1997)	Ipomopsis.aggregata	flower.number..W3	yes	0	0	NA	NA	LH	Count	Plant	Narrowsense
Campbell.(1997)	Ipomopsis.aggregata	flower./.offpsring.W1W2W3	yes	0.017	30.47	NA	1761.906	LH	Count	Plant	Narrowsense
Campbell.(1997)	Ipomopsis.aggregata	seed.per.flower.W4	yes	0	0	NA	NA	LH	Count	Plant	Narrowsense
Campbell.(1997)	Ipomopsis.aggregata	seed.per.plant.W3W4	yes	0	0	NA	NA	LH	Count	Plant	Narrowsense
Campbell.(1997)	Ipomopsis.aggregata	total.W1W2W3W4	yes	0.001	2.132	NA	2129.468	LH	Count	Plant	Narrowsense
Campbell.(1997)	Ipomopsis.aggregata	age.at.flowering	yes	0	0	NA	NA	LH	Time	Plant	Narrowsense
Campbell.(1997)	Ipomopsis.aggregata	Growth.rate	no	0.094	4.884	NA	47.074	LH	NA	Plant	Narrowsense
Caruso.(2004)	Lobelia.siphilitica	corrolla.lobe.length	no	0.644	0.954	14.17	0.527	Size	Linear	Plant	Narrowsense
Caruso.(2004)	Lobelia.siphilitica	corrollla.lobe.width	no	0.619	0.683	5.94	0.42	Size	Linear	Plant	Narrowsense
Caruso.(2004)	Lobelia.siphilitica	corrolla.tube.length.	no	0.663	0.316	17.61	0.16	Size	Linear	Plant	Narrowsense
Caruso.(2004)	Lobelia.siphilitica	corrolla.tube.width	no	0.655	1.156	6.41	0.609	Size	Linear	Plant	Narrowsense
Caruso.(2004)	Lobelia.siphilitica	stigma.nectary.distance	no	0.606	0.213	24.04	0.138	Size	Linear	Plant	Narrowsense
Caruso.(2004)	Lobelia.siphilitica	flower.number.	yes	0.572	5.449	87.95	4.077	LH	Count	Plant	Narrowsense
Caruso.(2004)	Lobelia.siphilitica	corrolla.lobe.length	no	0.462	0.54	12.99	0.629	Size	Linear	Plant	Narrowsense
Caruso.(2004)	Lobelia.siphilitica	corrollla.lobe.width	no	0.469	0.424	5.93	0.48	Size	Linear	Plant	Narrowsense
Caruso.(2004)	Lobelia.siphilitica	corrolla.tube.length.	no	0.565	0.238	16.96	0.184	Size	Linear	Plant	Narrowsense
Caruso.(2004)	Lobelia.siphilitica	corrolla.tube.width	no	0.631	0.986	6.48	0.577	Size	Linear	Plant	Narrowsense
Caruso.(2004)	Lobelia.siphilitica	stigma.nectary.distance	no	0.539	0.203	23.18	0.174	Size	Linear	Plant	Narrowsense
Caruso.(2004)	Lobelia.siphilitica	flower.number.	yes	0.464	4.434	85.4	5.122	LH	Count	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.cardnalis	Fv/Fm	no	0.118	0.0014	0.847	0.01	Physiological	Ratio	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.cardnalis	chlorophyll.concentr.	no	0.354	0.388	44.37	0.708	Physiological	Ratio	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.cardnalis	rosette.size	no	0.482	0.978	19.85	1.051	Size	Linear	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.cardnalis	specific.leaf.area	no	0.165	0.56	0.029	2.835	Shape	Ratio	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.cardnalis	Light.saturated.photosyntetic.rate	no	0.215	0.596	14.25	2.177	Physiological	NA	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.cardnalis	Stomatal.conductance	no	0.047	0.936	0.332	18.987	Physiological	NA	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.cardnalis	Water-use.efficiency	no	0.058	0.366	47.81	5.948	Physiological	NA	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.siphilitica	Fv/Fm	no	0.103	0.0027	0.836	0.023	Physiological	NA	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.siphilitica	chlorophyll.concentr.	no	0.38	0.762	30.55	1.243	Physiological	NA	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.siphilitica	rosette.size	no	0.308	0.72	22.99	1.617	Size	Linear	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.siphilitica	specific.leaf.area	no	0.505	5.141	0.032	5.039	Shape	Ratio	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.siphilitica	Light.saturated..photosyntetic.rate	no	0.432	1.306	12.08	1.717	Physiological	NA	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.siphilitica	stomatal.conductance	no	0.489	5.99	0.4	6.26	Physiological	NA	Plant	Narrowsense
Caruso.et.al..(2005)	Lobelia.siphilitica	Water-use.efficiency	no	0.453	4.11	33	4.963	Physiological	NA	Plant	Narrowsense
Charmantier.et.al.(2004a)	Parus.caeruleus	Tarsus.length	no	0.469	0.057	15.9	0.065	Size	Linear	Bird	Narrowsense
Charmantier.et.al.(2004a)	Parus.caeruleus	Body.mass	no	0.267	0.245	9.54	0.672	Size	Weight	Bird	Narrowsense
Charmantier.et.al.(2004a)	Parus.caeruleus	Tarsus.length	no	0.483	0.058	16.61	0.062	Size	Linear	Bird	Narrowsense
Charmantier.et.al.(2004a)	Parus.caeruleus	Body.mass	no	0.349	0.451	10.65	0.842	Size	Weight	Bird	Narrowsense
Charmantier.et.al.(2004a)	Parus.caeruleus	Tarsus.length	no	0.485	0.04	16.32	0.042	Size	Linear	Bird	Narrowsense
Charmantier.et.al.(2004a)	Parus.caeruleus	Body.mass	no	0.638	0.277	10.28	0.157	Size	Weight	Bird	Narrowsense
Charmantier.et.al..(2004b)	Parus.caeruleus	tarsus.length.(control)	no	0.531	0.063	15.85	0.055	Size	Linear	Bird	Narrowsense
Charmantier.et.al..(2004b)	Parus.caeruleus	tarsus.length.(parasitized)	no	0.909	0.094	16.02	0.009	Size	Linear	Bird	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	LZ	no	0.3056	0.225646275	5.2923	0.512725044	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	WZ	no	0.2269	0.144754067	4.3348	0.493210089	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	FPD	no	0.2438	0.169688389	14.5128	0.526326333	Shape	Count	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	LO	no	0.7719	0.182182364	1.0989	0.053835727	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	WO	no	0.3402	0.046637995	1.4643	0.090451938	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	LS	no	0.1968	0.146884938	0.369	0.599481616	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	WS	no	0.1635	0.157720646	0.2518	0.806931625	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	LAV	no	0.3053	0.256489176	0.684	0.583632593	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	LZ	no	0.1516	0.070702019	5.6287	0.395670136	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	WZ	no	0.1948	0.187240511	3.6686	0.773953077	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	FPD	no	0.5818	0.53696206	6.9852	0.385970322	Shape	Count	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	LO	no	0.2818	0.070861678	0.84	0.180599209	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	WO	no	0.705	0.15237354	1.2809	0.063759141	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	LS	no	0.4191	0.373790368	0.2833	0.518097887	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	WS	no	0.1934	0.686797463	0.209	2.864378666	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1993)	Stylopoma.sp1	LAV	no	0.8178	1.618838679	0.9848	0.360665697	Size	Linear	Bryozoan	Narrowsense
Cheetham.et.al..(1994)	Metarabdotos.auriculatum	lz	no	0.611	0.328	6.69	0.209	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.auriculatum	wz	no	0.642	0.374	3.39	0.209	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.auriculatum	lo	no	0.734	0.403	1.54	0.146	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.auriculatum	wo	no	0.448	0.098	1.17	0.121	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.auriculatum	ld	no	0.58	1.796	0.44	1.303	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.auriculatum	lavs	no	0.726	4.879	1.17	1.841	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.auriculatum	lavl	no	0.68	4.082	1.36	1.919	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.auriculatum	na	no	0.631	0.588	8.96	0.345	Size	Count	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.colligatum	lz	no	0.804	1.018	7.03	0.248	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.colligatum	wz	no	0.483	0.223	3.29	0.239	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.colligatum	lo	no	0.653	0.277	1.61	0.147	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.colligatum	wo	no	0.662	0.215	1.24	0.11	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.colligatum	ld	no	0.865	5.731	0.65	0.897	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.colligatum	lavs	no	0.721	2.298	0.97	0.891	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.colligatum	lavl	no	0.733	2.22	1.09	0.81	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metarabdotos.colligatum	na	no	0.587	0.564	9.15	0.397	Size	Count	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.lacrymosum	lz	no	0.519	0.473	7.4	0.438	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.lacrymosum	wz	no	0.565	0.236	3.21	0.182	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.lacrymosum	lo	no	0.547	0.194	1.3	0.161	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.lacrymosum	wo	no	0.305	0.066	1.18	0.15	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.lacrymosum	ld	no	0.558	0.684	0.7	0.541	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.lacrymosum	lavs	no	0.252	0.708	1.05	2.104	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.lacrymosum	lavl	no	0.412	1.229	1.52	1.757	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.lacrymosum	na	no	0.598	0.592	8.95	0.397	Size	Count	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp10	lz	no	0.331	0.112	6.6	0.226	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp10	wz	no	0.481	0.21	3.25	0.226	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp10	lo	no	0.632	0.205	1.57	0.119	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp10	wo	no	0.523	0.212	1.11	0.194	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp10	ld	no	0.428	0.845	0.45	1.13	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp10	lavs	no	0.485	1.808	1.01	1.917	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp10	lavl	no	0.232	1.346	1.26	4.449	Size	Linear	Bryozoan	Broadsense
